horizon,q,label,pnl_totale,worst_fold,fold_positivi,n_trade,sharpe_trade,dsr,quota_simbolo_top,simbolo_top,soglia_media
2,0.01,fixed_horizon,46.1,-32.53,3,1045,0.0121,0.0036,0.551,XRPUSDT,0.495
2,0.01,triple_barrier,-298.13,-85.3,0,1786,-0.1011,0.0,1.0,BTCUSDT,0.4724
2,0.02,fixed_horizon,23.65,-37.74,2,1228,0.0055,0.0019,0.371,XRPUSDT,0.4636
2,0.02,triple_barrier,-443.05,-136.78,0,2726,-0.0997,0.0,1.0,DOGEUSDT,0.4595
2,0.04,fixed_horizon,-198.8,-100.27,1,2888,-0.0231,0.0,0.571,DOGEUSDT,0.429
2,0.04,triple_barrier,-770.35,-199.59,0,3647,-0.1309,0.0,1.0,BTCUSDT,0.447
5,0.01,fixed_horizon,160.39,3.37,4,903,0.0436,0.0387,0.357,XRPUSDT,0.5068
5,0.01,triple_barrier,-400.53,-158.51,0,1416,-0.1366,0.0,1.0,DOGEUSDT,0.5066
5,0.02,fixed_horizon,84.23,-78.13,3,1457,0.0145,0.0058,0.406,XRPUSDT,0.479
5,0.02,triple_barrier,-538.86,-199.49,0,2228,-0.1199,0.0,1.0,SOLUSDT,0.4952
5,0.04,fixed_horizon,-117.51,-94.87,2,2389,-0.0129,0.0001,0.794,XRPUSDT,0.4524
5,0.04,triple_barrier,-663.54,-201.01,0,3320,-0.0982,0.0,1.0,BTCUSDT,0.4854
10,0.01,fixed_horizon,337.17,-31.15,3,510,0.119,0.3469,0.461,SOLUSDT,0.5186
10,0.01,triple_barrier,-212.17,-95.89,1,1304,-0.0719,0.0,1.0,ETHUSDT,0.5245
10,0.02,fixed_horizon,49.86,-90.64,2,910,0.0107,0.0029,0.497,BTCUSDT,0.497
10,0.02,triple_barrier,-294.54,-119.76,0,2132,-0.0615,0.0,1.0,SOLUSDT,0.515
10,0.04,fixed_horizon,-86.64,-133.59,1,1403,-0.0125,0.0002,0.503,BTCUSDT,0.4765
10,0.04,triple_barrier,-574.66,-193.31,0,3068,-0.0835,0.0,1.0,ETHUSDT,0.506
20,0.01,fixed_horizon,285.67,-17.0,3,401,0.1113,0.1951,0.592,DOGEUSDT,0.5294
20,0.01,triple_barrier,-280.05,-132.64,1,1264,-0.0847,0.0,1.0,XRPUSDT,0.536
20,0.02,fixed_horizon,239.1,-36.76,2,780,0.0535,0.0553,0.431,DOGEUSDT,0.5098
20,0.02,triple_barrier,-393.5,-174.82,0,2052,-0.0733,0.0,1.0,BNBUSDT,0.526
20,0.04,fixed_horizon,30.9,-87.67,2,1359,0.0041,0.0017,0.416,ETHUSDT,0.4917
20,0.04,triple_barrier,-516.42,-192.7,0,3104,-0.064,0.0,1.0,BNBUSDT,0.5167
