horizon,thr_kind,thr_val,label,pnl_totale,worst_fold,fold_positivi,n_trade,sharpe_trade,dsr,quota_simbolo_top,simbolo_top,esito
2,fixed,0.003,fixed_horizon,-23.41,-15.09,1.0,1340.0,-0.0055,0.0014,1.0,XRPUSDT,
2,fixed,0.003,triple_barrier,-41.91,-23.72,1.0,294.0,-0.1258,0.0,1.0,BTCUSDT,
2,fixed,0.005,fixed_horizon,38.91,-5.23,3.0,832.0,0.0124,0.0078,0.778,XRPUSDT,
2,fixed,0.005,triple_barrier,-130.33,-76.43,0.0,656.0,-0.1317,0.0,1.0,BTCUSDT,
2,fixed,0.01,fixed_horizon,-191.45,-125.63,0.0,513.0,-0.0785,0.0,1.0,BNBUSDT,
2,fixed,0.01,triple_barrier,-24.08,-24.36,1.0,1040.0,-0.0092,0.001,1.0,ETHUSDT,
2,atr,0.5,fixed_horizon,1.93,-33.26,2.0,89.0,0.0049,0.0032,25.994,DOGEUSDT,
2,atr,0.5,triple_barrier,-46.57,-40.9,1.0,193.0,-0.1515,0.0,1.0,DOGEUSDT,
2,atr,1.0,fixed_horizon,-23.46,-15.19,1.0,58.0,-0.0975,0.0005,1.0,TRXUSDT,
2,atr,1.0,triple_barrier,-38.78,-56.04,2.0,777.0,-0.0244,0.0003,1.0,SOLUSDT,
2,atr,1.5,fixed_horizon,-21.95,-9.62,0.0,45.0,-0.1769,0.0001,1.0,TRXUSDT,
2,atr,1.5,triple_barrier,-9.59,-28.64,2.0,265.0,-0.0181,0.0012,1.0,TRXUSDT,
5,fixed,0.003,fixed_horizon,167.44,-50.72,2.0,1665.0,0.0267,0.0452,0.774,XRPUSDT,
5,fixed,0.003,triple_barrier,-510.24,-166.01,0.0,2062.0,-0.1691,0.0,1.0,DOGEUSDT,
5,fixed,0.005,fixed_horizon,244.65,40.31,4.0,880.0,0.0651,0.1981,0.532,DOGEUSDT,
5,fixed,0.005,triple_barrier,-439.71,-178.16,0.0,1880.0,-0.1153,0.0,1.0,BTCUSDT,
5,fixed,0.01,fixed_horizon,27.96,-29.32,2.0,521.0,0.0105,0.0055,2.288,SOLUSDT,
5,fixed,0.01,triple_barrier,-178.51,-131.03,2.0,2671.0,-0.0234,0.0,1.0,SOLUSDT,
5,atr,0.5,fixed_horizon,20.91,-25.44,2.0,150.0,0.033,0.0084,1.658,SOLUSDT,
5,atr,0.5,triple_barrier,-336.84,-151.48,0.0,1366.0,-0.0947,0.0,1.0,SOLUSDT,
5,atr,1.0,fixed_horizon,,,,,,,,,scartata
5,atr,1.0,triple_barrier,-104.0,-159.58,2.0,1971.0,-0.0218,0.0001,1.0,SOLUSDT,
5,atr,1.5,fixed_horizon,,,,,,,,,scartata
5,atr,1.5,triple_barrier,-99.63,-108.53,2.0,552.0,-0.0961,0.0,1.0,SOLUSDT,
10,fixed,0.003,fixed_horizon,12.76,-183.29,3.0,1663.0,0.0018,0.0034,3.987,DOGEUSDT,
10,fixed,0.003,triple_barrier,-711.64,-194.18,0.0,3296.0,-0.1248,0.0,1.0,ETHUSDT,
10,fixed,0.005,fixed_horizon,245.77,-67.78,3.0,778.0,0.0594,0.1293,0.309,SOLUSDT,
10,fixed,0.005,triple_barrier,-618.36,-196.93,0.0,3416.0,-0.0814,0.0,1.0,XRPUSDT,
10,fixed,0.01,fixed_horizon,62.8,-80.42,3.0,334.0,0.0291,0.0121,0.738,XRPUSDT,
10,fixed,0.01,triple_barrier,-457.16,-199.31,0.0,3277.0,-0.0453,0.0,1.0,SOLUSDT,
10,atr,0.5,fixed_horizon,-4.52,-66.82,2.0,210.0,-0.0064,0.0021,1.0,DOGEUSDT,
10,atr,0.5,triple_barrier,-778.54,-200.69,0.0,1933.0,-0.1202,0.0,1.0,BNBUSDT,
10,atr,1.0,fixed_horizon,-33.25,-23.06,0.0,45.0,-0.3497,0.0,1.0,BNBUSDT,
10,atr,1.0,triple_barrier,-373.52,-192.27,1.0,2690.0,-0.0432,0.0,1.0,SOLUSDT,
10,atr,1.5,fixed_horizon,-2.39,-3.65,2.0,38.0,-0.0762,0.0007,1.0,BNBUSDT,
10,atr,1.5,triple_barrier,-162.28,-93.36,1.0,1551.0,-0.0375,0.0,1.0,SOLUSDT,
20,fixed,0.003,fixed_horizon,-453.57,-180.49,1.0,1744.0,-0.0561,0.0,1.0,BTCUSDT,
20,fixed,0.003,triple_barrier,-776.37,-199.89,0.0,3274.0,-0.1212,0.0,1.0,ETHUSDT,
20,fixed,0.005,fixed_horizon,401.32,-92.38,3.0,967.0,0.0726,0.298,0.492,DOGEUSDT,
20,fixed,0.005,triple_barrier,-613.02,-192.24,0.0,3987.0,-0.0608,0.0,1.0,SOLUSDT,
20,fixed,0.01,fixed_horizon,27.31,-49.84,2.0,331.0,0.012,0.0051,1.733,XRPUSDT,
20,fixed,0.01,triple_barrier,-479.22,-208.54,0.0,3123.0,-0.0461,0.0,1.0,SOLUSDT,
20,atr,0.5,fixed_horizon,2.28,-34.14,2.0,584.0,0.0011,0.0029,34.199,SOLUSDT,
20,atr,0.5,triple_barrier,-682.78,-192.05,0.0,2401.0,-0.0754,0.0,1.0,BTCUSDT,
20,atr,1.0,fixed_horizon,-14.84,-16.15,1.0,93.0,-0.0746,0.0003,1.0,XRPUSDT,
20,atr,1.0,triple_barrier,-524.51,-194.3,0.0,2552.0,-0.0668,0.0,1.0,SOLUSDT,
20,atr,1.5,fixed_horizon,-5.4,-5.4,0.0,43.0,-0.0971,0.0005,1.0,BTCUSDT,
20,atr,1.5,triple_barrier,-429.16,-198.81,1.0,3442.0,-0.0355,0.0,1.0,SOLUSDT,
